,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTAcceptableTerms
48,rib_left_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of first rib', 'Bone structure of first rib (body structure)']",['First rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
49,rib_left_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of second rib (body structure)', 'Bone structure of second rib']",['Second rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
50,rib_left_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of third rib (body structure)', 'Bone structure of third rib']",['Third rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
51,rib_left_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of fourth rib', 'Bone structure of fourth rib (body structure)']",['Fourth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
52,rib_left_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of fifth rib (body structure)', 'Bone structure of fifth rib']",['Fifth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
53,rib_left_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of sixth rib', 'Bone structure of sixth rib (body structure)']",['Sixth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
54,rib_left_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of seventh rib (body structure)', 'Bone structure of seventh rib']",['Seventh rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
55,rib_left_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of eighth rib', 'Bone structure of eighth rib (body structure)']",['Eighth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
56,rib_left_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of ninth rib (body structure)', 'Bone structure of ninth rib']",['Ninth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
57,rib_left_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of tenth rib', 'Bone structure of tenth rib (body structure)']",['Tenth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
58,rib_left_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of eleventh rib', 'Bone structure of eleventh rib (body structure)']",['Eleventh rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
59,rib_left_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of twelfth rib', 'Bone structure of twelfth rib (body structure)']",['Twelfth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
60,rib_right_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of first rib', 'Bone structure of first rib (body structure)']",['First rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
61,rib_right_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of second rib (body structure)', 'Bone structure of second rib']",['Second rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
62,rib_right_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of third rib (body structure)', 'Bone structure of third rib']",['Third rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
63,rib_right_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of fourth rib', 'Bone structure of fourth rib (body structure)']",['Fourth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
64,rib_right_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of fifth rib (body structure)', 'Bone structure of fifth rib']",['Fifth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
65,rib_right_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of sixth rib', 'Bone structure of sixth rib (body structure)']",['Sixth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
66,rib_right_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of seventh rib (body structure)', 'Bone structure of seventh rib']",['Seventh rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
67,rib_right_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of eighth rib', 'Bone structure of eighth rib (body structure)']",['Eighth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
68,rib_right_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of ninth rib (body structure)', 'Bone structure of ninth rib']",['Ninth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
69,rib_right_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of tenth rib', 'Bone structure of tenth rib (body structure)']",['Tenth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
70,rib_right_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of eleventh rib', 'Bone structure of eleventh rib (body structure)']",['Eleventh rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
71,rib_right_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of twelfth rib', 'Bone structure of twelfth rib (body structure)']",['Twelfth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
72,sacrum,SCT,123037004,Anatomical Structure,SCT,54735007,Sacrum,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of sacrum (body structure)', 'Bone structure of sacrum']",['Sacral bone'],[],[]
73,scapula_left,SCT,123037004,Anatomical Structure,SCT,79601000,Scapula,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of scapula (body structure)', 'Bone structure of scapula']","['Scapula', 'Shoulder blade']","['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
74,scapula_right,SCT,123037004,Anatomical Structure,SCT,79601000,Scapula,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of scapula (body structure)', 'Bone structure of scapula']","['Scapula', 'Shoulder blade']","['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
75,small_bowel,SCT,123037004,Anatomical Structure,SCT,30315005,Small Intestine,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Structure of small intestine', 'Structure of small intestine (body structure)']","['Small intestine', 'Small bowel', 'Small intestinal structure']",[],[]
76,spleen,SCT,123037004,Anatomical Structure,SCT,78961009,Spleen,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Splenic structure', 'Splenic structure (body structure)']",['Spleen'],[],[]
77,stomach,SCT,123037004,Anatomical Structure,SCT,69695003,Stomach,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Stomach structure (body structure)', 'Stomach structure']","['Stomach', 'Ventriculus']",[],[]
78,trachea,SCT,123037004,Anatomical Structure,SCT,44567001,Trachea,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Tracheal structure (body structure)', 'Tracheal structure']","['Windpipe', 'Trachea']",[],[]
79,urinary_bladder,SCT,123037004,Anatomical Structure,SCT,89837001,Urinary bladder,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Urinary bladder structure (body structure)', 'Urinary bladder structure']","['Bladder', 'Urinary bladder', 'Bladder structure']",[],[]
80,vertebrae_C1,SCT,123037004,Anatomical Structure,SCT,14806007,C1 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of atlas', 'Bone structure of atlas (body structure)']","['Atlas', 'First cervical vertebra', 'C1 vertebra']",[],[]
81,vertebrae_C2,SCT,123037004,Anatomical Structure,SCT,39976000,C2 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of axis (body structure)', 'Bone structure of axis']","['Specific axis site', 'Second cervical vertebra', 'Axis']",[],[]
82,vertebrae_C3,SCT,123037004,Anatomical Structure,SCT,113205007,C3 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of C3 (body structure)', 'Bone structure of C3']",['Third cervical vertebra'],[],[]
83,vertebrae_C4,SCT,123037004,Anatomical Structure,SCT,5329002,C4 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of C4', 'Bone structure of C4 (body structure)']",['Fourth cervical vertebra'],[],[]
84,vertebrae_C5,SCT,123037004,Anatomical Structure,SCT,36978003,C5 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of C5', 'Bone structure of C5 (body structure)']",['Fifth cervical vertebra'],[],[]
85,vertebrae_C6,SCT,123037004,Anatomical Structure,SCT,36054005,C6 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of C6 (body structure)', 'Bone structure of C6']",['Sixth cervical vertebra'],[],[]
86,vertebrae_C7,SCT,123037004,Anatomical Structure,SCT,87391001,C7 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of C7 (body structure)', 'Bone structure of C7']","['Prominent vertebra', 'Vertebra prominens', 'Seventh cervical vertebra']",[],[]
87,vertebrae_L1,SCT,123037004,Anatomical Structure,SCT,66794005,L1 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of L1 (body structure)', 'Bone structure of L1']",['First lumbar vertebra'],[],[]
88,vertebrae_L2,SCT,123037004,Anatomical Structure,SCT,14293000,L2 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of L2', 'Bone structure of L2 (body structure)']",['Second lumbar vertebra'],[],[]
89,vertebrae_L3,SCT,123037004,Anatomical Structure,SCT,36470004,L3 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of L3 (body structure)', 'Bone structure of L3']",['Third lumbar vertebra'],[],[]
90,vertebrae_L4,SCT,123037004,Anatomical Structure,SCT,11994002,L4 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of L4 (body structure)', 'Bone structure of L4']",['Fourth lumbar vertebra'],[],[]
91,vertebrae_L5,SCT,123037004,Anatomical Structure,SCT,49668003,L5 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of L5', 'Bone structure of L5 (body structure)']",['Fifth lumbar vertebra'],[],[]
92,vertebrae_T1,SCT,123037004,Anatomical Structure,SCT,64864005,T1 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T1 (body structure)', 'Bone structure of T1']","['First thoracic vertebra', 'First dorsal vertebra']",[],[]
93,vertebrae_T2,SCT,123037004,Anatomical Structure,SCT,53733008,T2 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T2', 'Bone structure of T2 (body structure)']","['Second dorsal vertebra', 'Second thoracic vertebra']",[],[]
94,vertebrae_T3,SCT,123037004,Anatomical Structure,SCT,1626008,T3 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T3', 'Bone structure of T3 (body structure)']","['Third thoracic vertebra', 'Third dorsal vertebra']",[],[]
95,vertebrae_T4,SCT,123037004,Anatomical Structure,SCT,73071006,T4 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T4 (body structure)', 'Bone structure of T4']","['Fourth dorsal vertebra', 'Fourth thoracic vertebra']",[],[]
96,vertebrae_T5,SCT,123037004,Anatomical Structure,SCT,56401006,T5 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T5 (body structure)', 'Bone structure of T5']","['Fifth thoracic vertebra', 'Fifth dorsal vertebra']",[],[]
97,vertebrae_T6,SCT,123037004,Anatomical Structure,SCT,45296009,T6 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T6 (body structure)', 'Bone structure of T6']","['Sixth thoracic vertebra', 'Sixth dorsal vertebra']",[],[]
98,vertebrae_T7,SCT,123037004,Anatomical Structure,SCT,62487009,T7 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T7 (body structure)', 'Bone structure of T7']","['Seventh thoracic vertebra', 'Seventh dorsal vertebra']",[],[]
99,vertebrae_T8,SCT,123037004,Anatomical Structure,SCT,11068009,T8 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T8', 'Bone structure of T8 (body structure)']","['Eighth thoracic vertebra', 'Eighth dorsal vertebra']",[],[]
100,vertebrae_T9,SCT,123037004,Anatomical Structure,SCT,82687006,T9 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T9', 'Bone structure of T9 (body structure)']","['Ninth thoracic vertebra', 'Ninth dorsal vertebra']",[],[]
101,vertebrae_T10,SCT,123037004,Anatomical Structure,SCT,7610001,T10 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T10', 'Bone structure of T10 (body structure)']","['Tenth thoracic vertebra', 'Tenth dorsal vertebra']",[],[]
102,vertebrae_T11,SCT,123037004,Anatomical Structure,SCT,12989004,T11 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T11', 'Bone structure of T11 (body structure)']","['Eleventh thoracic vertebra', 'Eleventh dorsal vertebra']",[],[]
103,vertebrae_T12,SCT,123037004,Anatomical Structure,SCT,23215003,T12 vertebra,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of T12', 'Bone structure of T12 (body structure)']","['Twelfth thoracic vertebra', 'Twelfth dorsal vertebra']",[],[]
